year,province,district,old_district,new_district,cabinet_origin,cabinet_represents,gen_altered
2017,adana,yumurtalik,0,0,1,1,0
2018,adana,yumurtalik,0,0,1,1,0
2019,adana,yumurtalik,0,0,0,0,0
2020,adana,yumurtalik,0,0,0,0,0
2002,adana,yuregir,0,0,0,0,0
2003,adana,yuregir,0,0,0,0,0
2004,adana,yuregir,0,0,0,0,0
2005,adana,yuregir,0,0,0,0,0
2006,adana,yuregir,0,0,0,0,0
2007,adana,yuregir,0,0,0,0,0
2008,adana,yuregir,0,0,0,0,0
2009,adana,yuregir,0,0,0,0,0
2010,adana,yuregir,0,0,0,0,0
2011,adana,yuregir,0,0,0,0,0
2012,adana,yuregir,0,0,0,0,0
2013,adana,yuregir,0,0,1,1,0
2014,adana,yuregir,0,0,1,1,0
2015,adana,yuregir,0,0,1,1,0
2016,adana,yuregir,0,0,1,1,0
2017,adana,yuregir,0,0,1,1,0
2018,adana,yuregir,0,0,1,1,0
2019,adana,yuregir,0,0,0,0,0
2020,adana,yuregir,0,0,0,0,0
2002,adiyaman,besni,0,0,0,0,0
2003,adiyaman,besni,0,0,0,0,0
2004,adiyaman,besni,0,0,0,0,0
2005,adiyaman,besni,0,0,0,0,0
2006,adiyaman,besni,0,0,0,0,0
2007,adiyaman,besni,0,0,0,0,0
2008,adiyaman,besni,0,0,0,0,0
2009,adiyaman,besni,0,0,0,0,0
2010,adiyaman,besni,0,0,0,0,0
2011,adiyaman,besni,0,0,0,0,0
2012,adiyaman,besni,0,0,0,0,0
2013,adiyaman,besni,0,0,0,0,0
2014,adiyaman,besni,0,0,0,0,0
2015,adiyaman,besni,0,0,0,0,0
2016,adiyaman,besni,0,0,0,0,0
2017,adiyaman,besni,0,0,0,0,0
2018,adiyaman,besni,0,0,0,0,0
2019,adiyaman,besni,0,0,0,0,0
2020,adiyaman,besni,0,0,0,0,0
2002,adiyaman,celikhan,0,0,0,0,0
2003,adiyaman,celikhan,0,0,0,0,0
2004,adiyaman,celikhan,0,0,0,0,0
2005,adiyaman,celikhan,0,0,0,0,0
2006,adiyaman,celikhan,0,0,0,0,0
2007,adiyaman,celikhan,0,0,0,0,0
2008,adiyaman,celikhan,0,0,0,0,0
2009,adiyaman,celikhan,0,0,0,0,0
2010,adiyaman,celikhan,0,0,0,0,0
2011,adiyaman,celikhan,0,0,0,0,0
2012,adiyaman,celikhan,0,0,0,0,0
2013,adiyaman,celikhan,0,0,0,0,0
2014,adiyaman,celikhan,0,0,0,0,0
2015,adiyaman,celikhan,0,0,0,0,0
2016,adiyaman,celikhan,0,0,0,0,0
2017,adiyaman,celikhan,0,0,0,0,0
2018,adiyaman,celikhan,0,0,0,0,0
2019,adiyaman,celikhan,0,0,0,0,0
2020,adiyaman,celikhan,0,0,0,0,0
2002,adiyaman,gerger,0,0,0,0,0
2003,adiyaman,gerger,0,0,0,0,0
2004,adiyaman,gerger,0,0,0,0,0
2005,adiyaman,gerger,0,0,0,0,0
2006,adiyaman,gerger,0,0,0,0,0
2007,adiyaman,gerger,0,0,0,0,0
2008,adiyaman,gerger,0,0,0,0,0
2009,adiyaman,gerger,0,0,0,0,0
2010,adiyaman,gerger,0,0,0,0,0
2011,adiyaman,gerger,0,0,0,0,0
2012,adiyaman,gerger,0,0,0,0,0
2013,adiyaman,gerger,0,0,0,0,0
2014,adiyaman,gerger,0,0,0,0,0
2015,adiyaman,gerger,0,0,0,0,0
2016,adiyaman,gerger,0,0,0,0,0
2017,adiyaman,gerger,0,0,0,0,0
2018,adiyaman,gerger,0,0,0,0,0
2019,adiyaman,gerger,0,0,0,0,0
2020,adiyaman,gerger,0,0,0,0,0
2002,adiyaman,golbasi,0,0,0,0,0
2003,adiyaman,golbasi,0,0,0,0,0
2004,adiyaman,golbasi,0,0,0,0,0
2005,adiyaman,golbasi,0,0,0,0,0
2006,adiyaman,golbasi,0,0,0,0,0
2007,adiyaman,golbasi,0,0,0,0,0
2008,adiyaman,golbasi,0,0,0,0,0
2009,adiyaman,golbasi,0,0,0,0,0
2010,adiyaman,golbasi,0,0,0,0,0
2011,adiyaman,golbasi,0,0,0,0,0
2012,adiyaman,golbasi,0,0,0,0,0
2013,adiyaman,golbasi,0,0,0,0,0
2014,adiyaman,golbasi,0,0,0,0,0
2015,adiyaman,golbasi,0,0,0,0,0
2016,adiyaman,golbasi,0,0,0,0,0
2017,adiyaman,golbasi,0,0,0,0,0
2018,adiyaman,golbasi,0,0,0,0,0
2019,adiyaman,golbasi,0,0,0,0,0
2020,adiyaman,golbasi,0,0,0,0,0
2002,adiyaman,kahta,0,0,0,0,0
2003,adiyaman,kahta,0,0,0,0,0
