pdy,imp_try_sum,imp_usd_sum,real_try_sum,dollars_sum,houses_sum,projects,try_idare_konut,try_afet_konutu,try_alt_gelir,try_ikmal_ihalesi,try_protokol_meb,try_restorasyon,try_altyapi_sosyal,try_danismanlik_hizmetleri,try_stadyum,try_millet_bahcesi,try_gelir_paylasimli,try_konut_sosyal_donati,try_bakim_onarim,try_kamu_hizmet,try_tarimkoy,try_kentsel_donusum,try_diger,try_talep_organizasyon,usd_idare_konut,usd_afet_konutu,usd_alt_gelir,usd_ikmal_ihalesi,usd_protokol_meb,usd_restorasyon,usd_altyapi_sosyal,usd_danismanlik_hizmetleri,usd_stadyum,usd_millet_bahcesi,usd_gelir_paylasimli,usd_konut_sosyal_donati,usd_bakim_onarim,usd_kamu_hizmet,usd_tarimkoy,usd_kentsel_donusum,usd_diger,usd_talep_organizasyon
bolu_goynuk_2011,6258741.829620721,7324840.7643312095,6258741.829620721,7324840.7643312095,240,1,0,0,0,0,0,0,0,0,0,0,0,6258741.829620721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7324840.7643312095,0,0,0,0,0,0
bolu_goynuk_2012,2105365.285728146,2413793.103448276,2105365.285728146,2413793.103448276,NA,1,0,0,0,0,0,0,2105365.285728146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2413793.103448276,0,0,0,0,0,0,0,0,0,0,0
bolu_mengen_2007,11716339.745563362,13525832.03082003,11716339.745563362,13525832.03082003,384,2,11716339.745563362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13525832.03082003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bolu_mengen_2009,2817627.667998748,2932907.3482428114,2817627.667998748,2932907.3482428114,96,1,0,0,0,0,0,0,0,0,0,0,0,2817627.667998748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2932907.3482428114,0,0,0,0,0,0
bolu_mengen_2010,193194.29198682768,241592.31297185997,193194.29198682768,241592.31297185997,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193194.29198682768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241592.31297185997,0
bolu_mengen_2012,1660920.1063934588,1883798.8826815642,1660920.1063934588,1883798.8826815642,NA,1,0,0,0,0,0,0,1660920.1063934588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1883798.8826815642,0,0,0,0,0,0,0,0,0,0,0
bolu_mengen_2013,1709142.5342173092,2089887.6404494382,1709142.5342173092,2089887.6404494382,NA,1,0,0,0,0,0,0,1709142.5342173092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2089887.6404494382,0,0,0,0,0,0,0,0,0,0,0
bolu_mengen_2016,2012803.0187695476,1870704.3681875896,2012803.0187695476,1870704.3681875896,360,2,0,0,0,2012803.0187695476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1870704.3681875896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bolu_mengen_2019,9164877.335648043,6935522.90406223,9164877.335648043,6935522.90406223,252,1,0,0,0,9164877.335648043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6935522.90406223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bolu_merkez_2005,12457337.883959044,10936329.58801498,12457337.883959044,10936329.58801498,348,1,0,0,0,0,0,0,0,0,0,0,0,12457337.883959044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10936329.58801498,0,0,0,0,0,0
bolu_merkez_2007,56796989.97036527,60803584.67850354,56796989.97036527,60803584.67850354,NA,4,19679017.585972205,0,0,0,0,0,3628569.4530871883,0,0,0,0,33489402.931305878,0,0,0,0,0,0,19152421.652421653,0,0,0,0,0,4428691.983122363,0,0,0,0,37222471.042959526,0,0,0,0,0,0
