province,district,registered_voters,valid_votes,akp,chp,mhp,year,province_district
denizli,tavas,8460,6986,1411,NA,3449,2004,denizli_tavas
diyarbakir,bismil,24223,15594,2128,268,61,2004,diyarbakir_bismil
diyarbakir,cermik,8430,5795,1320,63,26,2004,diyarbakir_cermik
diyarbakir,cinar,6391,4529,1684,NA,6,2004,diyarbakir_cinar
diyarbakir,cungus,1789,1262,557,581,10,2004,diyarbakir_cungus
diyarbakir,dicle,4682,3149,141,29,30,2004,diyarbakir_dicle
diyarbakir,egil,3586,3134,1432,7,5,2004,diyarbakir_egil
diyarbakir,ergani,28601,18769,5528,939,223,2004,diyarbakir_ergani
diyarbakir,hani,3895,3196,1302,14,10,2004,diyarbakir_hani
diyarbakir,hazro,3428,2435,402,87,7,2004,diyarbakir_hazro
diyarbakir,kocakoy,4044,2825,361,952,7,2004,diyarbakir_kocakoy
diyarbakir,kulp,6290,4035,2166,711,31,2004,diyarbakir_kulp
diyarbakir,lice,5146,3290,1072,19,54,2004,diyarbakir_lice
diyarbakir,silvan,18906,10321,3508,125,NA,2004,diyarbakir_silvan
duzce,akcakoca,13141,10462,3346,2298,56,2004,duzce_akcakoca
duzce,cilimli,2934,2522,1153,515,325,2004,duzce_cilimli
duzce,cumayeri,4465,3641,1156,NA,605,2004,duzce_cumayeri
duzce,golyaka,5062,4076,1977,145,8,2004,duzce_golyaka
duzce,gumusova,4411,3606,1892,NA,103,2004,duzce_gumusova
duzce,kaynasli,5165,4196,2454,65,27,2004,duzce_kaynasli
duzce,merkez,43401,36462,23299,2370,1385,2004,duzce_merkez
duzce,yigilca,2517,2037,826,666,11,2004,duzce_yigilca
edirne,enez,3058,2272,544,734,NA,2004,edirne_enez
edirne,havsa,6421,5004,1149,1216,NA,2004,edirne_havsa
edirne,ipsala,5873,4804,1393,1086,1629,2004,edirne_ipsala
edirne,kesan,31850,23341,5026,10455,5597,2004,edirne_kesan
edirne,lalapasa,1022,846,385,90,9,2004,edirne_lalapasa
edirne,meric,2341,1801,457,887,6,2004,edirne_meric
edirne,merkez,82708,57745,17493,18461,2194,2004,edirne_merkez
edirne,suleoglu,2714,1890,608,806,114,2004,edirne_suleoglu
edirne,uzunkopru,25497,18529,2049,3926,896,2004,edirne_uzunkopru
elazig,agin,1777,1220,443,93,143,2004,elazig_agin
elazig,alacakaya,2378,1764,807,NA,15,2004,elazig_alacakaya
