year,province,district,province_district,year_province_district,population
2004,bilecik,sogut,bilecik_sogut,2004_bilecik_sogut,22357
2005,bilecik,sogut,bilecik_sogut,2005_bilecik_sogut,22633
2006,bilecik,sogut,bilecik_sogut,2006_bilecik_sogut,22910
2007,bilecik,sogut,bilecik_sogut,2007_bilecik_sogut,23186
2008,bilecik,sogut,bilecik_sogut,2008_bilecik_sogut,19277
2009,bilecik,sogut,bilecik_sogut,2009_bilecik_sogut,21470
2010,bilecik,sogut,bilecik_sogut,2010_bilecik_sogut,25679
2011,bilecik,sogut,bilecik_sogut,2011_bilecik_sogut,20280
2012,bilecik,sogut,bilecik_sogut,2012_bilecik_sogut,19842
2013,bilecik,sogut,bilecik_sogut,2013_bilecik_sogut,19938
2014,bilecik,sogut,bilecik_sogut,2014_bilecik_sogut,19785
2015,bilecik,sogut,bilecik_sogut,2015_bilecik_sogut,19548
2016,bilecik,sogut,bilecik_sogut,2016_bilecik_sogut,19285
2017,bilecik,sogut,bilecik_sogut,2017_bilecik_sogut,19708
2018,bilecik,sogut,bilecik_sogut,2018_bilecik_sogut,19244
2019,bilecik,sogut,bilecik_sogut,2019_bilecik_sogut,18167
2020,bilecik,sogut,bilecik_sogut,2020_bilecik_sogut,17090
2002,bilecik,yenipazar,bilecik_yenipazar,2002_bilecik_yenipazar,4555
2003,bilecik,yenipazar,bilecik_yenipazar,2003_bilecik_yenipazar,4434
2004,bilecik,yenipazar,bilecik_yenipazar,2004_bilecik_yenipazar,4314
2005,bilecik,yenipazar,bilecik_yenipazar,2005_bilecik_yenipazar,4193
2006,bilecik,yenipazar,bilecik_yenipazar,2006_bilecik_yenipazar,4073
2007,bilecik,yenipazar,bilecik_yenipazar,2007_bilecik_yenipazar,3952
2008,bilecik,yenipazar,bilecik_yenipazar,2008_bilecik_yenipazar,3812
2009,bilecik,yenipazar,bilecik_yenipazar,2009_bilecik_yenipazar,3732
2010,bilecik,yenipazar,bilecik_yenipazar,2010_bilecik_yenipazar,3555
2011,bilecik,yenipazar,bilecik_yenipazar,2011_bilecik_yenipazar,3454
2012,bilecik,yenipazar,bilecik_yenipazar,2012_bilecik_yenipazar,3311
2013,bilecik,yenipazar,bilecik_yenipazar,2013_bilecik_yenipazar,3266
2014,bilecik,yenipazar,bilecik_yenipazar,2014_bilecik_yenipazar,3106
2015,bilecik,yenipazar,bilecik_yenipazar,2015_bilecik_yenipazar,3021
2016,bilecik,yenipazar,bilecik_yenipazar,2016_bilecik_yenipazar,3078
2017,bilecik,yenipazar,bilecik_yenipazar,2017_bilecik_yenipazar,2976
2018,bilecik,yenipazar,bilecik_yenipazar,2018_bilecik_yenipazar,2965
2019,bilecik,yenipazar,bilecik_yenipazar,2019_bilecik_yenipazar,2877
2020,bilecik,yenipazar,bilecik_yenipazar,2020_bilecik_yenipazar,2789
2002,bingol,adakli,bingol_adakli,2002_bingol_adakli,10778
2003,bingol,adakli,bingol_adakli,2003_bingol_adakli,10752
2004,bingol,adakli,bingol_adakli,2004_bingol_adakli,10725
2005,bingol,adakli,bingol_adakli,2005_bingol_adakli,10699
2006,bingol,adakli,bingol_adakli,2006_bingol_adakli,10673
2007,bingol,adakli,bingol_adakli,2007_bingol_adakli,10647
2008,bingol,adakli,bingol_adakli,2008_bingol_adakli,10603
2009,bingol,adakli,bingol_adakli,2009_bingol_adakli,10005
2010,bingol,adakli,bingol_adakli,2010_bingol_adakli,10047
2011,bingol,adakli,bingol_adakli,2011_bingol_adakli,9684
2012,bingol,adakli,bingol_adakli,2012_bingol_adakli,9550
2013,bingol,adakli,bingol_adakli,2013_bingol_adakli,9445
2014,bingol,adakli,bingol_adakli,2014_bingol_adakli,8905
