pdym,imp_try_sum,imp_usd_sum,real_try_sum,dollars_sum,houses_sum,projects,try_idare_konut,try_afet_konutu,try_alt_gelir,try_ikmal_ihalesi,try_protokol_meb,try_restorasyon,try_altyapi_sosyal,try_danismanlik_hizmetleri,try_stadyum,try_millet_bahcesi,try_gelir_paylasimli,try_konut_sosyal_donati,try_bakim_onarim,try_kamu_hizmet,try_tarimkoy,try_kentsel_donusum,try_diger,try_talep_organizasyon,usd_idare_konut,usd_afet_konutu,usd_alt_gelir,usd_ikmal_ihalesi,usd_protokol_meb,usd_restorasyon,usd_altyapi_sosyal,usd_danismanlik_hizmetleri,usd_stadyum,usd_millet_bahcesi,usd_gelir_paylasimli,usd_konut_sosyal_donati,usd_bakim_onarim,usd_kamu_hizmet,usd_tarimkoy,usd_kentsel_donusum,usd_diger,usd_talep_organizasyon
giresun_merkez_2009_11,10819575.471698113,12390276.83997299,10819575.471698113,12390276.83997299,322,1,0,0,0,0,0,0,0,0,0,0,0,10819575.471698113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12390276.83997299,0,0,0,0,0,0
giresun_merkez_2011_7,7922518.416450262,8661066.048667438,7922518.416450262,8661066.048667438,NA,2,3693359.478509725,0,0,0,0,0,4229158.937940537,0,0,0,0,0,0,0,0,0,0,0,4037659.32792584,0,0,0,0,0,4623406.720741599,0,0,0,0,0,0,0,0,0,0,0
giresun_merkez_2012_11,21134717.05041356,25137178.051511757,21134717.05041356,25137178.051511757,NA,1,0,0,0,0,0,0,21134717.05041356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25137178.051511757,0,0,0,0,0,0,0,0,0,0,0
giresun_merkez_2015_4,29913395.430079605,29163540.885221306,29913395.430079605,29163540.885221306,592,1,29913395.430079605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29163540.885221306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
giresun_merkez_2016_1,8907906.678378643,8301630.434782608,8907906.678378643,8301630.434782608,NA,1,0,0,0,0,0,0,8907906.678378643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8301630.434782608,0,0,0,0,0,0,0,0,0,0,0
giresun_merkez_2016_7,54209204.01271426,51682432.432432435,54209204.01271426,51682432.432432435,NA,1,0,0,0,0,0,0,54209204.01271426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51682432.432432435,0,0,0,0,0,0,0,0,0,0,0
giresun_merkez_2019_12,10916213.6232811,8260847.018150389,10916213.6232811,8260847.018150389,309,1,0,0,0,0,0,0,0,0,0,0,0,10916213.6232811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8260847.018150389,0,0,0,0,0,0
giresun_merkez_2020_9,29447982.520891808,19315760.2663707,29447982.520891808,19315760.2663707,595,1,29447982.520891808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19315760.2663707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
giresun_sebinkarahisar_2005_10,8198969.995153884,7394074.074074074,8198969.995153884,7394074.074074074,176,1,0,0,8198969.995153884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7394074.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
giresun_sebinkarahisar_2009_8,6583009.403239504,7216486.26925653,6583009.403239504,7216486.26925653,NA,1,0,0,0,0,0,0,6583009.403239504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7216486.26925653,0,0,0,0,0,0,0,0,0,0,0
